,title,directors,actors,genres
1938,Ankhon Dekhi,['Rajat Kapoor'],"['Sanjay Mishra', ' Seema Pahwa', ' Rajat Kapoor', ' Taranjit Kaur', ' Maya Sarao', ' Chandrachoor Rai', ' Namit Das', ' Brijendra Kala', ' Alka Chawla', ' Manu Rishi Chadha']","['Dramas', ' Independent Movies', ' International Movies']"
1939,Dedh Ishqiya,['Abhishek Chaubey'],"['Naseeruddin Shah', ' Madhuri Dixit', ' Arshad Warsi', ' Huma Qureshi', ' Vijay Raaz', ' Manoj Pahwa', ' Salman Shahid']","['Comedies', ' Dramas', ' International Movies']"
1940,Golmaal Returns,['Rohit Shetty'],"['Ajay Devgn', ' Kareena Kapoor', ' Arshad Warsi', ' Tusshar Kapoor', ' Shreyas Talpade', ' Celina Jaitly', ' Amrita Arora', ' Anjana Sukhani']","['Comedies', ' International Movies', ' Music & Musicals']"
1941,Ishq Vishk,['Ken Ghosh'],"['Shahid Kapoor', ' Amrita Rao', ' Shenaz Treasury', ' Vishal Malhotra', ' Kapil Jhaveri', ' Shabhir', ' Deepti Gujral', ' Yash Tonk', ' Satish Shah', ' Neelima Azim']","['Comedies', ' International Movies', ' Music & Musicals']"
1942,Ishqiya,['Abhishek Chaubey'],"['Naseeruddin Shah', ' Vidya Balan', ' Arshad Warsi', ' Salman Shahid', ' Anupama Kumar']","['Comedies', ' International Movies', ' Romantic Movies']"
1943,Jab We Met,['Imtiaz Ali'],"['Shahid Kapoor', ' Kareena Kapoor', ' Tarun Arora', ' Dara Singh', ' Pavan Malhotra', ' Kamal Tiwari', ' Kiran Juneja', ' Divya Seth', ' Saumya Tandon']","['Comedies', ' International Movies', ' Music & Musicals']"
1944,Mann,['Indra Kumar'],"['Aamir Khan', ' Manisha Koirala', ' Sharmila Tagore', ' Dipti Bhatnagar', ' Dalip Tahil', ' Anil Kapoor']","['Dramas', ' International Movies', ' Romantic Movies']"
1945,Manorama Six Feet Under,['Navdeep Singh'],"['Abhay Deol', ' Gul Panag', ' Raima Sen', ' Sarika', ' Kulbhushan Kharbanda', ' Vinay Pathak', ' Yana Gupta', ' Jogi', ' Brijendra Kala', ' Nawazuddin Siddiqui']","['Dramas', ' International Movies', ' Thrillers']"
1946,Welcome,['Anees Bazmee'],"['Akshay Kumar', ' Katrina Kaif', ' Nana Patekar', ' Anil Kapoor', ' Paresh Rawal', ' Mallika Sherawat', ' Feroz Khan', ' Ruslaan Mumtaz', ' Sunil Shetty', ' Malaika Arora', ' Asrani']","['Comedies', ' International Movies', ' Music & Musicals']"
1950,Time Out,['Rikhil Bahadur'],"['Chirag Malhotra', ' Pranay Pachauri', ' Kaamya Sharma', ' Riya Kothari', ' Aditya Jain', ' Shiva Dawar', ' Sanya Arora', ' Tarana Marwah', ' Raunaq Chopra', ' Vedabrata Rao']","['Dramas', ' Independent Movies', ' International Movies']"
1953,My Mother's Wound,['Ozan Açıktan'],"['Ozan Güven', ' Meryem Uzerli', ' Belçim Bilgin', ' Okan Yalabık', ' Bora Akkaş', ' Sabina Ajrula']","['Dramas', ' International Movies']"
1956,Zulu Man in Japan,,['Nasty C'],"['Documentaries', ' International Movies', ' Music & Musicals']"
1957,Real Steel,['Shawn Levy'],"['Hugh Jackman', ' Dakota Goyo', ' Evangeline Lilly', ' Anthony Mackie', ' Kevin Durand', ' Hope Davis', ' James Rebhorn', ' Karl Yune', ' Olga Fonda', ' John Gatins']","['Action & Adventure', ' Sci-Fi & Fantasy', ' Sports Movies']"
1959,Enola Holmes,['Harry Bradbeer'],"['Millie Bobby Brown', ' Henry Cavill', ' Sam Claflin', ' Helena Bonham Carter', ' Louis Partridge', ' Burn Gorman', ' Adeel Akhtar', ' Susan Wokoma', ' Frances de la Tour', ' Fiona Shaw']","['Action & Adventure', ' Children & Family Movies', ' Dramas']"
1960,Kiss the Ground,"['Joshua Tickell', ' Rebecca Harrell Tickell']",['Woody Harrelson'],['Documentaries']
1962,A Love Song for Latasha,['Sophia Nahli Allison'],,['Documentaries']
1963,DTC Yukemuri Junjo Hen From High & Low,['Norihisa Hiranuma'],"['Kenjiro Yamashita', ' Kanta Sato', ' Taiki Sato', ' Masayasu Yagi', ' Kousei Amano', ' Miu Arai', ' Taro Suruga', ' Yuko Fueki', ' Tomoki Hirose', ' Ryo Matsuda', ' Masaru Mizuno', ' Shunsuke Tanaka', ' Fumihiko Tachiki', ' Eri Murakawa', ' Katsuya Kobayashi']","['Dramas', ' International Movies']"
1964,High & Low The Movie,['Shigeaki Kubo'],"['Takanori Iwata', ' Akira', ' Sho Aoyagi', ' Hiroomi Tosaka', ' Takahiro', ' Yuki Yamada', ' Masataka Kubota', ' Kento Hayashi', ' Keiji Kuroki', ' Goki Maeda', ' Elly', ' Kenchi Tachibana', ' Tatsuya Nakamura', ' Kosuke Toyohara', ' Arata Iura', ' Kyoko Koizumi']","['Action & Adventure', ' International Movies']"
1965,High & Low The Movie 2 / End of Sky,"['Shigeaki Kubo', ' Tsuyoshi Nakakuki']","['Takanori Iwata', ' Keiji Kuroki', ' Aoi Nakamura', ' Yuki Yamada', ' Masataka Kubota', ' Kento Hayashi', ' Naoto', ' Akira', ' Sho Aoyagi', ' Takahiro', ' Hiroomi Tosaka', ' Nobuyuki Suzuki', ' Keita Machida', ' Elly', ' Mandy Sekiguchi', ' Reo Sano', ' Masahiko Tsugawa']","['Action & Adventure', ' International Movies']"
1966,High & Low The Movie 3 / Final Mission,"['Shigeaki Kubo', ' Tsuyoshi Nakakuki']","['Takanori Iwata', ' Akira', ' Masataka Kubota', ' Takahiro', ' Hiroomi Tosaka', ' Sho Aoyagi', ' Reo Sano', ' Koichi Iwaki', ' Goro Kishitani', ' Masahiko Tsugawa', ' Keiji Kuroki', ' Yuki Yamada', ' Kento Hayashi', ' Naoto', ' Elly', ' Mandy Sekiguchi']","['Action & Adventure', ' International Movies']"
1967,High & Low The Red Rain,['Yudai Yamaguchi'],"['Takahiro', ' Hiroomi Tosaka', ' Takumi Saitoh', ' Miyu Yoshimoto', ' Ken Ishiguro', ' Takanori Iwata', ' Naoko Iijima', ' Koichi Iwaki', ' Nobuyuki Suzuki', ' Keita Machida', ' Kenjiro Yamashita', ' Kanta Sato', ' Taiki Sato', ' Noemi Nakai', ' Tatsuya Nakamura', ' Taichi Saotome']","['Action & Adventure', ' International Movies']"
1968,High & Low The Worst,['Shigeaki Kubo'],"['Kazuma Kawamura', ' Jun Shison', ' Yuki Yamada', ' Hokuto Yoshino', ' Goki Maeda', ' Ryuji Sato', ' Fuju Kamio', ' Jin Shirasu', ' Yuta Nakatsuka', ' Hayato Komori', ' Akihisa Shiono', ' Yo Aoi', ' Shin Koyanagi', ' Atsushi Arai', ' Ryotaro Sakaguchi']","['Action & Adventure', ' International Movies']"
1969,Road To High & Low,['Shigeaki Kubo'],"['Takanori Iwata', ' Nobuyuki Suzuki', ' Keita Machida', ' Akira', ' Sho Aoyagi', ' Keiji Kuroki', ' Yuki Yamada', ' Masataka Kubota', ' Kento Hayashi', ' Kenjiro Yamashita', ' Kanta Sato', ' Taiki Sato', ' Takahiro', ' Hiroomi Tosaka', ' Tatsuya Nakamura', ' Arata Iura']","['Action & Adventure', ' International Movies']"
1970,The Blue Elephant 2,['Marwan Hamed'],"['Karim Abdel Aziz', ' Nelly Karim', ' Hend Sabry', ' Shereen Reda', ' Khaled El Sawy', ' Eyad Nassar', ' Tara Emad', ' Amgad Elsharqawy']","['Horror Movies', ' International Movies', ' Thrillers']"
1971,Bhaji In Problem,['Smeep Kang'],"['Gippy Grewal', ' Gurpreet Guggi', ' Ragini Khanna', ' Om Puri', ' B.N. Sharma', ' Avtar Gill', ' Karamjit Anmol', ' Rana Jung Bahadur']","['Comedies', ' International Movies']"
1972,Black,['Raja Chanda'],"['Soham Chakraborty', ' Bidya Sinha Mim', ' Ashish Vidyarthi', ' Rajatabha Dutta', ' Rudranil Ghosh', ' Kharaj Mukherjee']","['Action & Adventure', ' International Movies']"
1974,Saheb Biwi Aur Gangster Returns,['Tigmanshu Dhulia'],"['Irrfan Khan', ' Jimmy Shergill', ' Soha Ali Khan', ' Mahie Gill', ' Raj Babbar', ' Deep Raj Rana', ' Rajiv Gupta', ' Sitaram Panchal', ' Rajesh Khera', ' Mugdha Godse']","['Dramas', ' International Movies', ' Romantic Movies']"
1975,Santa Banta Pvt Ltd,['Akashdeep'],"['Boman Irani', ' Vir Das', ' Neha Dhupia', ' Lisa Haydon', ' Ram Kapoor', ' Johny Lever', ' Vijay Raaz', ' Tinnu Anand', ' Sanjay Mishra', ' Ayub Khan']","['Comedies', ' International Movies']"
1976,The Royal Bengal Tiger,['Rajesh Ganguly'],"['Jeet', ' Abir Chatterjee', ' Priyanka Sarkar', ' Shradha Das', ' Kharaj Mukherjee', ' Shantilal Mukherjee', ' Barun Chanda', ' Deb Ranajan Nag', ' Rajesh Sharma']","['Dramas', ' International Movies', ' Thrillers']"
1977,Dolly Kitty Aur Woh Chamakte Sitare,['Alankrita Shrivastava'],"['Bhumi Pednekar', ' Konkona Sen Sharma', ' Vikrant Massey', ' Amol Parashar', ' Aamir Bashir', ' Karan Kundra', ' Kalp Shah', ' Hearty Singh', ' Neelima Azim', ' Kubbra Sait']","['Dramas', ' Independent Movies', ' International Movies']"
1981,Whipped,['Chandra Liow'],"['Andovi da Lopez', ' Jovial da Lopez', ' Chandra Liow', ' Tommy Limmm', ' Susan Sameh', ' Widika Sidmore', ' Kezia Aletheia', ' Karina Salim']","['Comedies', ' International Movies', ' Romantic Movies']"
1982,Anaamika,['Sekhar Kammula'],"['Nayantara', ' Vaibhav Reddy', ' Pasupathy', ' Harshvardhan Rane', ' Thagubothu Ramesh', ' Vinay Varma', ' Dheer Charan Srivastav', ' D. Narsingh Rao']","['International Movies', ' Thrillers']"
1984,GIMS: On the Record,['Florent Bodin'],['Maître Gims'],"['Documentaries', ' International Movies', ' Music & Musicals']"
1985,Horrid Henry's Gross Day Out,['Gary Andrews'],"['Lizzie Waterworth-Santo', ' Emma Tate', ' Sue Elliot Nicholls', ' Tamsin Heatley', ' Wayne Forester', ' Aidan Cook', ' Philip Pope']","['Children & Family Movies', ' Comedies']"
1986,Nee Enge En Anbe,['Sekhar Kammula'],"['Nayantara', ' Vaibhav Reddy', ' Pasupathy', ' Harshvardhan Rane', ' Thagubothu Ramesh', ' Vinay Varma', ' Dheer Charan Srivastav', ' D. Narsingh Rao']","['International Movies', ' Thrillers']"
1987,Residue,['Merawi Gerima'],"['Obinna Nwachukwu', ' Dennis Lindsey', ' Taline Stewart', ' Derron Scott', ' Jamal Graham', ' JaCari Dye', ' Julian Selman', ' Melody Tally', ' Ramon Thompson', ' Hasinatu Camara']","['Dramas', ' Independent Movies']"
1992,Dr Jason Leong Hashtag Blessed,['Kubhaer T. Jethwani'],['Jason Leong'],['Stand-Up Comedy']
1995,The Devil All The Time,['Antonio Campos'],"['Tom Holland', ' Bill Skarsgård', ' Riley Keough', ' Robert Pattinson', ' Mia Wasikowska', ' Jason Clarke', ' Sebastian Stan', ' Haley Bennett', ' Harry Melling', ' Eliza Scanlen']","['Dramas', ' Thrillers']"
1996,The Paramedic,['Carles Torras'],"['Mario Casas', ' Déborah François', ' Guillermo Pfening', ' María Rodríguez Soto', ' Celso Bugallo', ' Raúl Jiménez', ' Pol Monen', ' Alice Bocchi', ' Martín Bacigalupo']","['Dramas', ' International Movies', ' Thrillers']"
1997,The Take,['James Watkins'],"['Idris Elba', ' Richard Madden', ' Charlotte Le Bon', ' Kelly Reilly', ' José Garcia', ' Vincent Londez', ' Arieh Worthalter', ' Mohamed Makhtoumi', ' Théo Costa-Marini', ' Jérôme Gaspard']","['Action & Adventure', ' International Movies']"
1999,Hope Frozen: A Quest to Live Twice,['Pailin Wedel'],,"['Documentaries', ' International Movies']"
2000,Michael McIntyre: Showman,['Chris Howe'],['Michael McIntyre'],['Stand-Up Comedy']
2001,Raising Victor Vargas,['Peter Sollett'],"['Victor Rasuk', ' Judy Marte', ' Melonie Diaz', ' Altagracia Guzman', ' Silvestre Rasuk', ' Krystal Rodriguez', ' Kevin Rivera', ' Wilfree Vasquez', ' Donna Maldonado']","['Dramas', ' Independent Movies', ' Romantic Movies']"
2003,The Smurfs 2,['Raja Gosnell'],"['Neil Patrick Harris', ' Brendan Gleeson', ' Jayma Mays', ' Hank Azaria', ' Katy Perry', ' Christina Ricci', ' Jonathan Winters', ' J.B. Smoove', ' George Lopez', ' Anton Yelchin', ' Fred Armisen', ' Jacob Tremblay', ' Alan Cumming']","['Children & Family Movies', ' Comedies']"
2004,Wish Upon a Unicorn,['Steve Bencich'],"['Ryan Kiera Armstrong', ' Summer Fontana', "" Kevin J. O'Connor"", ' Tait Blum', ' Jon Gries', ' Branscombe Richmond', ' Rick Overton', ' Jonathan Lajoie', ' Chloe Webb']",['Children & Family Movies']
2005,Lara and the Beat,['Tosin Coker'],"['Seyi Shay', ' Somkele Iyamah', ' Vector', ' Chioma Chukwuka Akpotha', ' Uche Jumbo', ' Sharon Ooja', ' Shaffy Bello', ' Saidi Balogun', ' Kemi Lala Akindoju', ' Ademola Adedoyin']","['Dramas', ' International Movies', ' Music & Musicals']"
2007,Dad Wanted,['Javier Colinas'],"['Natalia Coronado', ' Juan Pablo Medina', ' Silvia Navarro', ' Roberto Quijano', ' Victoria Viera', ' Arantxa Servín', ' Aleyda Gallardo', ' Joaquín Emanuel', ' Abril Michel', ' Omar Fierro', ' Luis Ernesto Franco', ' Patricia Reyes Spíndola', ' Rodrigo Murray', ' Luis Arrieta', ' Alberto Guerra', ' Moisés Arizmendi', ' David Fridman', ' Martha Claudia Moreno', ' Ela Velden', ' Gonzalo García Vivanco', ' Mauricio Argüelles', ' César Rodríguez']","['Children & Family Movies', ' Comedies', ' Dramas']"
2010,How to Train Your Dragon 2,['Dean DeBlois'],"['Jay Baruchel', ' Cate Blanchett', ' Gerard Butler', ' Craig Ferguson', ' America Ferrera', ' Jonah Hill', ' Christopher Mintz-Plasse', ' T.J. Miller', ' Kristen Wiig', ' Djimon Hounsou', ' Kit Harington']",['Children & Family Movies']
2011,Pets United,['Reinhard Klooss'],"['Patrick Roche', ' Natalie Dormer', ' Eddie Marsan', ' Felix Auer', ' Jeff Burrell', ' Harvey Friedman', ' Marty Sander', ' Ian Odle', ' Bryan Larkin']","['Children & Family Movies', ' Comedies']"
2014,Wonho Chung: Live in New York,['Shaun Mir'],['Wonho Chung'],['Stand-Up Comedy']
2015,Aapla Manus,['Satish Rajwade'],"['Nana Patekar', ' Sumeet Raghvan', ' Iravati Harshe', ' Aashish Kulkarni', ' Savita Malpekar']","['Dramas', ' International Movies', ' Thrillers']"
2016,Ani... Dr. Kashinath Ghanekar,['Abhijeet Deshpande'],"['Subodh Bhave', ' Vaidehi Parshurami', ' Nandita Patkar', ' Sonali Kulkarni', ' Sumeet Raghvan', ' Prasad Oak', ' Anand Ingale', ' Suhas Palshikar']","['Dramas', ' International Movies']"
2017,Bhai: Vyakti Ki Valli - Poorvardha,['Mahesh Manjrekar'],"['Sagar Deshmukh', ' Vijay Kenkre', ' Iravati Harshe', ' Shubhangi Damle', ' Sachin Khedekar', ' Sunil Barve', ' Ashwini Giri', ' Rajan Bhise']","['Dramas', ' International Movies']"
2018,Bhai: Vyakti Ki Valli - Uttarardh,['Mahesh Manjrekar'],"['Sagar Deshmukh', ' Iravati Harshe', ' Vijay Kenkre', ' Shubhangi Damle', ' Ashwini Giri', ' Nina Kulkarni', ' Dalip Tahil', ' Girish Kulkarni']","['Dramas', ' International Movies']"
2019,Cycle,['Prakash Kunte'],"['Hrishikesh Joshi', ' Bhalchandra Kadam', ' Priyadarshan Jadhav', ' Deepti Lele', ' Manoj Kolhatkar', ' Maithili Patwardhan']","['Comedies', ' Dramas', ' International Movies']"
2020,Dhh,['Manish Saini'],"['Naseeruddin Shah', ' Kahaan', ' Kuldeep Sodha']","['Children & Family Movies', ' Dramas', ' International Movies']"
2023,Kaagar,['Makarand Mane'],"['Rinku Rajguru', ' Shubhankar Tawde', ' Shashank Shende', ' Suhas Palshikar', ' Bharati Patil', ' Milind Pathak', ' Umesh Jagtap', ' Shantanu Gangane', ' Vitthal Kale', ' Mahesh Bhosale']","['Dramas', ' International Movies', ' Romantic Movies']"
2024,Night of Knots,['Hakan Algül'],"['Şahin Irmak', ' İrem Sak', ' Gonca Vuslateri', ' Emre Karayel', ' Duygu Yetiş', ' Onur Buldu', ' Salih Kalyon', ' Bilge Şen', ' Nilgün Belgün', ' Hakan Akın']","['Comedies', ' International Movies', ' Romantic Movies']"
2025,PhotoCopy,['Vijay Maurya'],"['Parna Pethe', ' Chetan Chitnis', ' Anshuman Joshi', ' Aashay Kulkarni', ' Vandana Gupte', ' Girish Oak']","['Comedies', ' Dramas', ' International Movies']"
2026,Poshter Girl,['Sameer Patil'],"['Sonalee Kulkarni', ' Hrishikesh Joshi', ' Jitendra Joshi', ' Aniket Vishwasrao', ' Hemant Dhome', ' Sandeep Pathak', ' Siddharth Menon', ' Akshay Tanksale', ' Vaibhav Mangale', ' Anand Ingale']","['Comedies', ' Dramas', ' International Movies']"
2027,Satria Heroes: Revenge of the Darkness,"['Kenzo Maihara', ' Amandha Wyanto']","['Christian Loho', ' Fernando Surya', ' Yayan Ruhian', ' Stella Cornelia', ' Yui Takano', ' Safira Ratu', ' Faris Fadjar Munggaran', ' Adhitya Alkatiri']",['Children & Family Movies']
2028,Son Of Adam,['Ahmed Nader Galal'],"['Youssef El Sherif', ' Dina El-Sherbiny', ' Ahmad Rizq', ' Hana El Zahed', ' Mahmoud El Gendy', ' Bayyumi Fuad', ' Khaled Kamal', ' Mahmoud El-Bazzawy']","['Dramas', ' International Movies', ' Thrillers']"
2029,The Babysitter: Killer Queen,['McG'],"['Judah Lewis', ' Jenna Ortega', ' Emily Alyn Lind', ' Andrew Bachelor', ' Robbie Amell', ' Bella Thorne', ' Hana Mae Lee', ' Ken Marino', ' Leslie Bibb', ' Chris Wylde', ' Carl McDowell']","['Comedies', ' Horror Movies']"
2030,Cargo,['Arati Kadav'],"['Vikrant Massey', ' Shweta Tripathi', ' Nandu Madhav', ' Konkona Sen Sharma', ' Biswapati Sarkar', ' Ritwik Bhaumik', ' Prabal Panjabi', ' Hansal Mehta']","['Comedies', ' Dramas', ' Independent Movies']"
2031,Cuties,['Maïmouna Doucouré'],"['Fathia Youssouf', ' Médina El Aidi-Azouni', ' Esther Gohourou', ' Ilanah Cami-Goursolas', ' Myriam Hamma', ' Maïmouna Gueye', ' Mbissine Thérèse Diop', ' Demba Diaw', ' Mamadou Samaké']","['Dramas', ' International Movies']"
2034,So Much Love to Give,['Marcos Carnevale'],"['Adrián Suar', ' Soledad Villamil', ' Gabriela Toscano', ' Alan Sabbagh', ' Darío Barassi', ' Magela Zanotta', ' Betiana Blum']","['Comedies', ' International Movies', ' Music & Musicals']"
2035,The Social Dilemma,['Jeff Orlowski'],"['Skyler Gisondo', ' Kara Hayward', ' Vincent Kartheiser']",['Documentaries']
2036,#Alive,['Cho Il'],"['Yoo Ah-in', ' Park Shin-hye']","['Horror Movies', ' International Movies', ' Thrillers']"
2038,My Octopus Teacher,"['Pippa Ehrlich', ' James Reed']",,"['Children & Family Movies', ' Documentaries', ' International Movies']"
2039,Toll Booth,['Tolga Karaçelik'],"['Büşra Pekin', ' Nur Aysan', ' Ruhi Sarı', ' Nergis Öztürk', ' Nadir Sarıbacak', ' Serkan Ercan', ' Sermet Yeşil', ' Enes Mazak', ' Zafer Diper']","['Dramas', ' Independent Movies', ' International Movies']"
2041,"Waiting for ""Superman""",['Davis Guggenheim'],,['Documentaries']
2043,Villain,['Philip Barantini'],"['Craig Fairbrass', ' George Russo', ' Robert Glenister', ' Izuka Hoyle', ' Mark Monero', ' Tomi May', ' Eloise Lovell Anderson', ' Taz Skylar', ' Nicholas Aaron']",['Dramas']
2045,I'm Thinking of Ending Things,['Charlie Kaufman'],"['Jessie Buckley', ' Jesse Plemons', ' Toni Collette', ' David Thewlis', ' Guy Boyd']","['Dramas', ' Independent Movies']"
2046,Kandasamys: The Wedding,['Jayan Moodley'],"['Jailoshini Naidoo', ' Maeshni Naicker', ' Madhushan Singh', ' Mishqah Parthiephal', ' Yugan Naidoo', ' Koobeshan Naidoo', ' Mariam Bassa', ' Rushil Juglall', ' Tesarnia Oree']","['Comedies', ' Dramas', ' International Movies']"
2048,The Lost Okoroshi,['Abba T. Makama'],"['Seun Ajayi', ' Judith Audu', ' Tope Tedela', ' Ifu Ennada', ' Chiwetalu Agu', ' Demi Banwo', ' Ibrahim Jammal', ' Micheal Ajotubu', ' Ozzy Agu', ' Cristabel Goddy']","['Comedies', ' Dramas', ' Independent Movies']"
2049,You're My Boss,['Antoinette Jadaone'],"['Toni Gonzaga', ' Coco Martin', ' Freddie Webb', ' JM de Guzman', ' Gloria Sevilla', ' Noel Trinidad', ' Adam Chan', ' Pepe Herrera', ' Jerald Napoles']","['Comedies', ' International Movies', ' Romantic Movies']"
2050,Afonso Padilha: Classless,"['Junior Carelli', ' Rudge Campos']",['Afonso Padilha'],['Stand-Up Comedy']
2051,Ave Maryam,['Ertanto Robby Soediskam'],"['Maudy Koesnaedi', ' Chicco Jerikho', ' Tutie Kirana', ' Olga Lydia', ' Joko Anwar', ' Nathania Angela Widjaja', ' Sendy Febrina', ' Suhartini', ' Atie Krisnawati', ' Ratnawati Sutandar', ' Ninik Winarni Utomo']","['Dramas', ' Independent Movies', ' International Movies']"
2052,"Love, Guaranteed",['Mark Steven Johnson'],"['Rachael Leigh Cook', ' Damon Wayans Jr.', ' Heather Graham', ' Caitlin Howden', ' Brendan Taylor', ' Sebastian Billingsley-Rodriguez', ' Sean Amsing', ' Lisa Durupt', ' Alvin Sanders', ' Jed Rees', ' Kandyse McClure']","['Comedies', ' Independent Movies', ' Romantic Movies']"
2055,Freaks – You're One of Us,['Felix Binder'],"['Cornelia Gröschel', ' Tim Oliver Schultz', ' Wotan Wilke Möhring', ' Nina Kunzendorf', ' Frederic Linkemann', ' Finnlay Berger', ' Gisa Flake', ' Ralph Herforth', ' Thelma Buabeng']","['Dramas', ' Independent Movies', ' International Movies']"
2056,Hotel for Dogs,['Thor Freudenthal'],"['Emma Roberts', ' Jake T. Austin', ' Kyla Pratt', ' Lisa Kudrow', ' Kevin Dillon', ' Don Cheadle', ' Johnny Simmons', ' Troy Gentile', ' Eric Edelstein', ' Robinne Lee', ' Ajay Naidu']","['Children & Family Movies', ' Comedies']"
2057,Sky Tour: The Movie,['Nguyen Thanh Tung'],['Son Tung M-TP'],"['Documentaries', ' International Movies', ' Music & Musicals']"
2059,Adrift,['Baltasar Kormákur'],"['Shailene Woodley', ' Sam Claflin', ' Jeffrey Thomas', ' Elizabeth Hawthorne']","['Action & Adventure', ' Dramas', ' Romantic Movies']"
2060,Always Be My Maybe,['Dan Villegas'],"['Gerald Anderson', ' Arci Muñoz', ' Cacai Bautista', ' Ricci Chan', ' Tirso Cruz III', ' Carlo Aquino', ' Matt Evans', ' Ahron Villena', ' Victor Silayan', ' TJ Trinidad']","['International Movies', ' Romantic Movies']"
2061,Barbie Princess Adventure,['Conrad Helten'],"['America Young', ' Erica Lindbeck', ' Ritesh Rajan', ' Dave Fennoy', ' Stephanie Sheh', ' Cristina Milizia', ' Desirae Whitfield', ' Emma Galvin', ' Angelo Restaino', ' Eamon Brennan', ' Ogie Banks']","['Children & Family Movies', ' Music & Musicals']"
2065,Children of the Sea,['Ayumu Watanabe'],"['Mana Ashida', ' Hiiro Ishibashi', ' Seishu Uragami', ' Win Morisaki', ' Goro Inagaki', ' Yu Aoi', ' Toru Watanabe', ' Min Tanaka', ' Sumiko Fuji']","['Anime Features', ' International Movies']"
2067,Fate/Grand Order -First Order-,['Hitoshi Namba'],"['Nobunaga Shimazaki', ' Rie Takahashi', ' Ayako Kawasumi', ' Madoka Yonezawa', ' Kenichi Suzumura', ' Tomokazu Sugita']","['Action & Adventure', ' Anime Features', ' International Movies']"
2071,Puss in Boots,['Chris Miller'],"['Antonio Banderas', ' Salma Hayek', ' Zach Galifianakis', ' Billy Bob Thornton', ' Amy Sedaris', ' Constance Marie', ' Guillermo del Toro', ' Mike Mitchell']","['Children & Family Movies', ' Comedies']"
2072,Sex Drive,['Sean Anders'],"['Josh Zuckerman', ' Amanda Crew', ' Clark Duke', ' Seth Green', ' James Marsden', ' Michael Cudlitz', ' Dave Sheridan', ' Alice Greczyn', ' Katrina Bowden', ' Charlie McDermott', ' Mark L. Young']",['Comedies']
2074,Soldier,['Abbas Mustan'],"['Rakhee Gulzar', ' Bobby Deol', ' Preity Zinta']","['Comedies', ' Dramas', ' International Movies']"
2075,"Take the Ball, Pass the Ball",['Duncan McMath'],"['Thierry Henry', ' Michael Carnick', ' Javier Mascherano', ' Fabio Capello', ' Jordi Cruyff', ' Andrés Iniesta', ' Xavi Hernández', ' Lionel Messi', ' Victor Valdes', ' Leo Messi']","['Documentaries', ' International Movies', ' Sports Movies']"
2076,The Boss Baby: Get That Baby!,"['Dan Forgione', ' Pete Jacobs', ' Matt Whitlock']","['JP Karliak', ' Pierce Gagnon', ' Alex Cazares', ' Kevin Michael Richardson', ' Flula Borg', ' Rhys Darby', ' Wendie Malick', ' Jake Green']","['Children & Family Movies', ' Comedies']"
2077,The Match,['Francesco Carnesecchi'],"['Francesco Pannofino', ' Alberto Di Stasio', ' Gabriele Fiore', ' Giorgio Colangeli', ' Fabrizio Sabatucci', ' Veruska Rossi', ' Giulia Cragnotti', ' Siria Simeoni', ' Lidia Vitale', ' Daniele Mariani']","['Dramas', ' International Movies', ' Sports Movies']"
2079,The Smurfs,['Raja Gosnell'],"['Hank Azaria', ' Neil Patrick Harris', ' Jayma Mays', ' Sofía Vergara', ' Tim Gunn', ' Jonathan Winters', ' Katy Perry', ' Alan Cumming', ' Fred Armisen', ' George Lopez', ' Anton Yelchin', ' Kenan Thompson', ' Jeff Foxworthy', ' John Oliver', ' Wolfgang Puck', ' B.J. Novak', ' Paul Reubens']","['Children & Family Movies', ' Comedies']"
2081,True: Friendship Day,"['Mark Thornton', ' Todd Kauffman']","['Michela Luci', ' Jamie Watson', ' Eric Peterson', ' Anna Claire Bartlam', ' Nicolas Aqui', ' Cory Doran', ' Julie Lemieux', ' Derek McGrath']",['Children & Family Movies']
2082,Maniyarayile Ashokan,['Shamzu Zayba'],"['Jacob Gregory', ' S.V. Krishna Shankar', ' Shine Tom Chacko', ' Vijayaraghavan', ' Sri Lakshmi', ' Anupama Parameswaran', ' Dulquer Salmaan', ' Nazriya Fahad']","['Comedies', ' International Movies', ' Romantic Movies']"
2083,The Debt Collector 2,['Jesse V. Johnson'],"['Scott Adkins', ' Louis Mandylor', ' Vladimir Kulich', ' Marina Sirtis', ' Ski Carr', ' Charity Collins', ' Mayling Ng', ' Josef Cannon', ' Jermaine Jacox', ' Vernon Wells']",['Action & Adventure']
2084,All Together Now,['Brett Haley'],"[""Auli'i Cravalho"", ' Justina Machado', ' Rhenzy Feliz', ' Fred Armisen', ' Carol Burnett', ' Judy Reyes', ' Taylor Richardson', ' C.S. Lee', ' Anthony Jacques']",['Dramas']
2087,Santana,"['Chris Roland', ' Maradona Dias Dos Santos']","['Paulo Americano', ' Raul Rosario', ' Rapulana Seiphemo', "" David O'Hara"", ' Hakeem Kae-Kazim', ' Neide Vieira', ' Cigano Satyohamba', ' Nompilo Gwala']","['Action & Adventure', ' International Movies']"
2088,Unknown Origins,['David Galán Galindo'],"['Javier Rey', ' Verónica Echegui', ' Brays Efe', ' Antonio Resines', ' Álex García', ' Carlos Areces', ' Ernesto Alterio', ' Leonardo Sbaraglia']","['International Movies', ' Thrillers']"
